marketTokenAddress,indexTokenAddress,longTokenAddress,shortTokenAddress,isSameCollaterals,isSpotOnly,name,data,isDisabled,longInterestUsd,shortInterestUsd,longInterestInTokens,shortInterestInTokens,longPoolAmount,shortPoolAmount,maxLongPoolAmountForDeposit,maxShortPoolAmountForDeposit,maxLongPoolAmount,maxShortPoolAmount,poolValueMin,poolValueMax,reserveFactorLong,reserveFactorShort,openInterestReserveFactorLong,openInterestReserveFactorShort,maxOpenInterestLong,maxOpenInterestShort,totalBorrowingFees,positionImpactPoolAmount,minPositionImpactPoolAmount,positionImpactPoolDistributionRate,swapImpactPoolAmountLong,swapImpactPoolAmountShort,borrowingFactorLong,borrowingFactorShort,borrowingExponentFactorLong,borrowingExponentFactorShort,fundingFactor,fundingExponentFactor,fundingIncreaseFactorPerSecond,fundingDecreaseFactorPerSecond,thresholdForDecreaseFunding,thresholdForStableFunding,minFundingFactorPerSecond,maxFundingFactorPerSecond,pnlLongMax,pnlLongMin,pnlShortMax,pnlShortMin,netPnlMax,netPnlMin,maxPnlFactorForTradersLong,maxPnlFactorForTradersShort,minCollateralFactor,minCollateralFactorForOpenInterestLong,minCollateralFactorForOpenInterestShort,claimableFundingAmountLong,claimableFundingAmountShort,positionFeeFactorForPositiveImpact,positionFeeFactorForNegativeImpact,positionImpactFactorPositive,positionImpactFactorNegative,maxPositionImpactFactorPositive,maxPositionImpactFactorNegative,maxPositionImpactFactorForLiquidations,positionImpactExponentFactor,swapFeeFactorForPositiveImpact,swapFeeFactorForNegativeImpact,swapImpactFactorPositive,swapImpactFactorNegative,swapImpactExponentFactor,borrowingFactorPerSecondForLongs,borrowingFactorPerSecondForShorts,fundingFactorPerSecond,longsPayShorts,virtualPoolAmountForLongToken,virtualPoolAmountForShortToken,virtualInventoryForPositions,virtualMarketId,virtualLongTokenId,virtualShortTokenId
0x47c031236e19d024b42f8AE6780E44A573170703,0x47904963fc8b2340414262125aF798B9655E58Cd,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,BTC/USD [BTC-USDC],,false,31208782738705266736277893463463559985,30202872746558844818215906290744023351,48034094740,49350860132,84531999464,55392246437986,200000000000,100000000000000,220000000000,110000000000000,110012275488081691779235608058683271286,110020414502934641979087608058683271286,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,90000000000000000000000000000000000000,90000000000000000000000000000000000000,195013252204090951570826803117039131,1757945120,95000000,552000000000000000000000000000000,230195,261312056,9850000000000000000,9850000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,790000000000000000,0,0,50000000000000000000000000000,300000000000000000000,10000000000000000000000,-652507725925991336277893463463559985,-651827401701880515137893463463559985,-1191744702959576925436093709255976649,-1191045728911866901784093709255976649,-1844252428885568261713987172719536634,-1842873130613747416921987172719536634,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,200000000000000000000,200000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,90000000000000000000,150000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,200000000000000000000,200000000000000000000,2000000000000000000000000000000,5521008302914086301242,0,7550696674752770451008,true,84531999464,55392246437986,-1018280979324122622566403054219536634,0xba1ff14bf93fbb00b6f43d3ad403cc4c6496c1bb88489075c8b1bc709bde9ebb,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000
0x70d95587d40A2caf56bd97485aB3Eec10Bee6336,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,ETH/USD [WETH-USDC],,false,34688938546674112885283777169448583169,34439300069340827861372952844752936045,11093276128717794224669,11239140558459047340810,14983415389486698517540,48007113235830,34013000000000000000000,90000000000000,37792000000000000000000,100000000000000,97765071857329253379234705905489975078,97783371860727809601111860452728375078,1400000000000000000000000000000,1400000000000000000000000000000,1350000000000000000000000000000,1350000000000000000000000000000,80000000000000000000000000000000000000,80000000000000000000000000000000000000,334933601972823967839887606899726912,237939660106657226677,10000000000000000000,82880000000000000000000000000000000000000000,4083703846206,3979494,9300000000000000000,9300000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,790000000000000000,0,0,50000000000000000000000000000,300000000000000000000,10000000000000000000000,2038922956994883219265022249275066831,2042911035800253200467636787151416831,-2775533099814382355236580089247063955,-2771492582141183010112512429885563955,-736610142819499135971557839971997124,-728581546340929809644875642734147124,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,200000000000000000000,200000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,90000000000000000000,150000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,200000000000000000000,200000000000000000000,2000000000000000000000000000000,7311327302469122049560,0,7998253052107621227145,true,14983415389486698517540,48007113235830,-461707112804159514314730604507086870,0xf5134a0a1379cd7f246d7a04d2463c57aa177bf09a34e93dafc5e768c05cea63,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0x6853EA96FF216fAb11D2d930CE3C508556A4bdc4,0xC4da4c24fd591125c3F47b340b6f4f76111883d8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,DOGE/USD [WETH-USDC],,false,1343668720353904822347854116982127545,1206917982317424308819725378049994752,926093883155109,759027762573471,833205372958903834689,2599789825725,1060000000000000000000,3500000000000,1200000000000000000000,4000000000000,5169176662324130744482967556373627378,5170023336806320371778189165832977378,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,3000000000000000000000000000000000000,3000000000000000000000000000000000000,20345792473056538332172765556896167,58934394792096,2600000000000,19520000000000000000000000000000000000,0,0,12000000000000000000,12000000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,44111394636238875998445883017872455,44263922298794522450745883017872455,69366566076271159086325378049994752,69491577948767009760025378049994752,113477960712510035084771261067867207,113755500247561532210771261067867207,700000000000000000000000000000,700000000000000000000000000000,10000000000000000000000000000,5000000000000000000000,5000000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,13000000000000000000000,26000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,5000000000000000000000,2000000000000000000000000000000,7112887675515996519744,0,3443311284597501900916,true,833205372958903834689,2599789825725,-136750738036480513528128738932132793,0x1d8eb216c5594c7c1ee5b7c9434607b93048d3503f95678132f1317fa99a55ac,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0x09400D9DB990D5ed3f35D7be61DfAEB900Af03C9,0x2bcC6D6CdBbDC0a4071e48bb3B969b06B3330c07,0x2bcC6D6CdBbDC0a4071e48bb3B969b06B3330c07,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,SOL/USD [SOL-USDC],,false,9433356736481512528200433834297117488,9188055873261327080973011075968056960,68409994698568,61306619153935,80796504354768,11459568919079,152000000000000,14500000000000,167700000000000,16000000000000,21959941674424782676816981068694750845,21963442176042732754482981068694750845,1450000000000000000000000000000,1450000000000000000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,17500000000000000000000000000000000000,17500000000000000000000000000000000000,107298562902754651175283032326492567,1559570065454,219000000000,1150000000000000000000000000000000000,19586513680,5680713,4000000000000000000,4000000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,229244340961793130012766165702882512,230003976488525180855646165702882512,528093574074758694815661075968056960,528774332582903053685261075968056960,757337915036551824828427241670939472,758778309071428234540907241670939472,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,1700000000000000000000,1700000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,32500000000000000000,65000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2300000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,10000000000000000000000,2000000000000000000000000000000,10528953637072191914943,0,3610708515327531227646,true,80796504354768,11459568919079,-245300863220185447227422758329060528,0xb20ab5cc3e9cef737f22fd7c99fcc71c0360484f26cfa8428606fc8e94848f07,0xe164d90f9b49d7563d555e0316bb53a5f920111bde55dbf44359ae6db82ff4e7,0x0000000000000000000000000000000000000000000000000000000000000000
0xD9535bB5f58A1a75032416F2dFe7880C30575a41,0xB46A094Bc4B0adBD801E14b9DB95e05E28962764,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,LTC/USD [WETH-USDC],,false,300014662988435587547014515000000000,288528732879689045170000000000000000,367001940861,335248679331,209536872414445227117,676179317002,800000000000000000000,1500000000000,800000000000000000000,1500000000000,1345321050378917944623464170980118245,1345570325570061062362560425015668245,950000000000000000000000000000,950000000000000000000000000000,900000000000000000000000000000,900000000000000000000000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,4287300266834412820571247961378167,13834703285,2800000000,5418000000000000000000000000000000,5971151819802913,29819,30000000000000000000,30000000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,12504973627168530492985485000000000,12559488095464023432985485000000000,2998713343431389590000000000000000,3048511182259216330000000000000000,15503686970599920082985485000000000,15607999277723239762985485000000000,600000000000000000000000000000,600000000000000000000000000000,10000000000000000000000000000,2500000000000000000000,2500000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,18000000000000000000000,36000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,5000000000000000000000,2000000000000000000000000000000,7557089562738238966422,0,15000000000000000000000,true,209536872414445227117,676179317002,-11485930108746542377014515000000000,0xb890c85174d049941f8b8576844968c4d2864b0c1b9e05ecac35ca077bf17d71,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0xc7Abb2C5f3BF3CEB389dF0Eecd6120D451170B50,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,UNI/USD [UNI-USDC],,false,364046636742900671230067578466711957,344744496241582358588581894915840661,47326344698970944738425,42981498468483111679582,113558735180716036424480,881354686373,300000000000000000000000,1500000000000,300000000000000000000000,1500000000000,1758266259053792047863513727715918829,1758777639244078025882961533884668829,1050000000000000000000000000000,1050000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1572728023046409349548190303408783,2084356503090050423688,170000000000000000000,1433200000000000000000000000000000000000000000,1234876962446885488141,2671691077,16000000000000000000000,16000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,14418135639691205952645038857038043,14515403109633765986818686838288043,936753648240921667088856626640661,1025091372968271582368317532140661,15354889287932127619733895483678704,15540494482602037569187004370428704,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,29000000000000000000000,29000000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,21000000000000000000000,42000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,15000000000000000000000,30000000000000000000000,2000000000000000000000000000000,6669818257098721962792,0,14529550574210694687378,true,113558735180716036424480,881354686373,-19302140501318312641485683550871296,0xac74a8ce840f9f11faaa15bd01a21a95ded2d6d1e2f3de883ef04c6f7e604ef4,0xd6f594c665cfd695fe0f7241434c3e44f7d3b0e20145e97654d944d26203ddb8,0x0000000000000000000000000000000000000000000000000000000000000000
0x7f1fa204bb700853D36994DA19F830b6Ad18455C,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,LINK/USD [LINK-USDC],,false,3889164934770171343430157713710309365,3765256896222879966251688503171262026,267762974965702117220298,249578386075793978108931,217967875713810554736538,2976668693918,550000000000000000000000,7200000000000,600000000000000000000000,8000000000000,5876095607857395051746500815328312590,5877947283227695244623389284022072590,1450000000000000000000000000000,1450000000000000000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,7000000000000000000000000000000000000,7000000000000000000000000000000000000,34619291845591704540173591072817860,4078770286806846305817,638000000000000000000,2068000000000000000000000000000000000000000000,2759675693090890202416,1596809301,7000000000000000000,7000000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,-120786156160879966682428424090929365,-120223347841429307059264251927709365,252275467031241219905213780666562026,252800053345150070509861161646152026,131489310870361253222785356575632661,132576705503720763450596909718442661,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,3000000000000000000000,3000000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,250000000000000000000,500000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2200000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,4000000000000000000000,8000000000000000000000,2000000000000000000000000000000,16696699592175918845555,0,9654465838152423363516,true,217967875713810554736538,2976668693918,-123908038547291377178469210539047339,0xeed81816403077d40644cf5d67e0684a662b9e79f29112103f52bebee3ca78e2,0xc31eff1feab296b571fe8131f0a4addc859c36445b90ea23edd116081d5eb0e8,0x0000000000000000000000000000000000000000000000000000000000000000
0xC25cEf6061Cf5dE5eb761b50E4743c1F5D7E5407,0x912CE59144191C1204E64559FE8253a0e49E6548,0x912CE59144191C1204E64559FE8253a0e49E6548,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,ARB/USD [ARB-USDC],,false,1483368936181191693803981767347567430,1334107905567537809400958535646355853,1313109758116013102887267,966322994385969438159806,3740177275046085443831962,4210305222629,6796000000000000000000000,14000000000000,7524000000000000000000000,15500000000000,8143646709021415936766986340711560365,8146673787173199719222408978058920365,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,10000000000000000000000000000000000000,10000000000000000000000000000000000000,5813822801145633019170808130585379,52999938170226689545173,27598000000000000000000,16010000000000000000000000000000000000000000000,30659458960780694355,109775914,7500000000000000000,7500000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,2980324630995280116505417922002570,3543871945885929459871546300392570,239882515603400782722653192663075853,240297232442901409226428236604095853,242862840234396062839158610585078423,243841104388787338686299782904488423,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,3800000000000000000000,3800000000000000000000,0,0,500000000000000000000000000,700000000000000000000000000,250000000000000000000,500000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2200000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,4000000000000000000000,8000000000000000000000,2000000000000000000000000000000,3212014425913291661990,0,6359807336493821626225,true,3740177275046085443831962,4210305222629,-149261030613653884403023231701211577,0x85248fe8b259d5a671c8ca8540127a7b9cb2534b1175b95d1df6391360841c7b,0xab14694c1d031aa28aedaf394a1c4f0054ad43be42448259b8bc064efa1af97c,0x0000000000000000000000000000000000000000000000000000000000000000
